,colors
2_0,"#179B73,#D48AAF,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
2_1,"#1A908C,#D17133,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
2_2,"#387DB8,#E11A1D,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
2_3,"#40DAFF,#FF5c5c,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
2_4,"#51A3B8,#BBC258,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
2_5,"#6262FF,#FF6060,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
2_6,"#75A4C9,#9D96B1,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
2_7,"#A9B6C1,#BDC9AF,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
2_8,"#C381A8,#407BAE,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
2_9,"#D59B3A,#3D4A78,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
2_10,"#D9423C,#854C98,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
2_11,"#E4E45F,#AB84B6,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
2_12,"#EF8A43,#4865A9,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
2_13,"#FFDD14,#AC592A,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
3_0,"#2DABB2,#DAAB36,#F0552B,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
3_1,"#A7A9AC,#AFC9CB,#ADC6AD,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
3_2,"#B2B2B2,#D69C9B,#74A0A1,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
3_3,"#B2B2B2,#F4B9D9,#666697,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
3_4,"#CCD6BC,#EBC4B8,#CACDE8,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
3_5,"#FB8D62,#8DA0CD,#66C2A5,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
4_0,"#9A9AF8,#F19E9C,#B1FCA3,#CF90EC,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
4_1,"#C2DCBF,#DAB8F8,#FBE5B8,#E7D8FA,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
4_2,"#CFE2E6,#85A8D3,#EBACCA,#F3C0B4,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
4_3,"#DB80AE,#8C96B8,#EC8360,#54B097,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
4_4,"#F5AD65,#91CCAE,#795291,#F6C6D6,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
5_0,"#6194C9,#FE8D00,#0E5FDB,#970030,#681A98,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
5_1,"#A5D3ED,#ED949A,#EEC48A,#B5AAD5,#5382BA,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
5_2,"#E64B35,#4DBBD5,#00A087,#3C5488,#F39B7F,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
6_0,"#EDADC5,#CEAAD0,#9584C1,#6CBEC3,#AAD7C8,#619CD9,white,white,white,white,white,white,white,white,white,white,white,white,white,white"
7_0,"#ADAFB1,#D8D9DA,#ECB884,#E4E45F,#4758A2,#E08D8B,#AF8CBB,white,white,white,white,white,white,white,white,white,white,white,white,white"
8_0,"#BC3C29,#0072B5,#E18727,#20854E,#7876B1,#6F99AD,#FFDC91,#EE4C97,white,white,white,white,white,white,white,white,white,white,white,white"
10_0,"#E64B35,#4DBBD5,#00A087,#3C5488,#F39B7F,#8491B4,#91D1C2,#DC0000,#7E6148,#B09C85,white,white,white,white,white,white,white,white,white,white"
10_1,"#0073C2,#EFC000,#868686,#CD534C,#7AA6DC,#003C67,#8F7700,#3B3B3B,#A73030,#4A6990,white,white,white,white,white,white,white,white,white,white"
10_2,"#1F77B4,#FF7F0E,#2CA02C,#D62728,#9467BD,#8C564B,#E377C2,#7F7F7F,#BCBD22,#17BECF,white,white,white,white,white,white,white,white,white,white"
20_0,"#55efc4,#81ecec,#74b9ff,#a29bfe,#dfe6e9,#00b894,#00cec9,#0984e3,#6c5ce7,#b2bec3,#ffeaa7,#fab1a0,#ff7675,#fd79a8,#636e72,#fdcb6e,#e17055,#d63031,#e84393,#2d3436"
20_1,"#40407a,#706fd3,#f7f1e3,#34ace0,#33d9b2,#2c2c54,#474787,#aaa69d,#227093,#218c74,#ff5252,#ff793f,#d1ccc0,#ffb142,#ffda79,#b33939,#cd6133,#84817a,#cc8e35,#ccae62"
